Navn,Lønartnr,Udskrivnings sekvens,Type
"Tillæg 7 tabel, genebetaling",1516,1516,FAST
"Tillæg 8 tabel, genebetaling",1517,1517,FAST
"Tillæg, genebetaling",1519,1519,VARIABEL
Ferieberettiget tillæg 1 tabel,1520,1520,FAST
Forskudttidstillæg A,11520,1520,VARIABEL
Tillæg 41520,41520,1520,FAST
Ferieberettiget tillæg 1 tabel,1521,1521,VARIABEL
Forskudttidstillæg B,11521,1521,VARIABEL
Ferieberettiget tillæg 2 tabel,1522,1522,FAST
Forskudttidstillæg C,11522,1522,VARIABEL
Tillæg 41522,41522,1522,FAST
Ferieberettiget tillæg 2 tabel,1523,1523,VARIABEL
Forskudttidstillæg D,11523,1523,VARIABEL
Ferieberettiget tillæg 3 tabel,1524,1524,FAST
Forskudttidstillæg E,11524,1524,VARIABEL
Ferieberettiget tillæg 3 tabel,1525,1525,VARIABEL
Forskudttidstillæg F,11525,1525,VARIABEL
Ferieberettiget tillæg 4 tabel,1526,1526,FAST
Forskudttidstillæg G,11526,1526,VARIABEL
Ferieberettiget tillæg 4 tabel,1527,1527,VARIABEL
Forskudttidstillæg H,11527,1527,VARIABEL
Ferieberettiget tillæg 5 tabel,1528,1528,FAST
Forskudttidstillæg I,11528,1528,VARIABEL
Ferieberettiget tillæg 5 tabel,1529,1529,VARIABEL
Forskudttidstillæg J,11529,1529,VARIABEL
Ferieberettiget tillæg 1 U/P,1530,1530,FAST
Forskudttidstillæg K,11530,1530,VARIABEL
Ferieberettiget tillæg 1 U/P,1531,1531,VARIABEL
Ferieberettiget tillæg 2 U/P,1532,1532,FAST
Ferieberettiget tillæg 2 U/P,1533,1533,VARIABEL
Ferieberettiget tillæg 3 U/P,1534,1534,FAST
Ferieberettiget tillæg 3 U/P,1535,1535,VARIABEL
Ferieberettiget tillæg D tabel,1536,1536,FAST
Ferieberettiget tillæg D tabel,1537,1537,VARIABEL
Ferieberettiget tillæg E tabel,1538,1538,FAST
Ferieberettiget tillæg E tabel,1539,1539,VARIABEL
Ferieberettiget tillæg A tabel,1540,1540,FAST
Ferieberettiget tillæg A tabel,1541,1541,VARIABEL
Ferieberettiget tillæg B tabel,1542,1542,FAST
Ferieberettiget tillæg B tabel,1543,1543,VARIABEL
Ferieberettiget tillæg C tabel,1544,1544,FAST
Ferieberettiget tillæg C tabel,1545,1545,VARIABEL
Ferieberettiget tillæg beløb,1546,1546,FAST
Ferieberettiget tillæg beløb,1547,1547,FAST
Ferieberettiget tillæg beløb,1548,1548,FAST
Ferieberettiget tillæg F tabel,1549,1549,FAST
Ferieberettiget tillæg 1,1550,1550,FAST
Ferieberettiget tillæg 1,11610,1550,FAST
Ferieberettiget tillæg 1,11612,1550,FAST
Ferieberettiget tillæg 1,11614,1550,FAST
Ferieberettiget tillæg 1,11616,1550,FAST
Ferieberettiget tillæg 1,11618,1550,FAST
Ferieberettiget tillæg 1,11620,1550,FAST
Ferieberettiget tillæg 1,11622,1550,FAST
Ferieberettiget tillæg 1,11624,1550,FAST
Ferieberettiget tillæg 1,11626,1550,FAST
Ferieberettiget tillæg 1,11628,1550,FAST
Ferieberettiget tillæg 1,11630,1550,FAST
Ferieberettiget tillæg 1,11632,1550,FAST
Ferieberettiget tillæg 1,11634,1550,FAST
Ferieberettiget tillæg 1,11636,1550,FAST
Ferieberettiget tillæg 1,11638,1550,FAST
Ferieberettiget tillæg 1,11640,1550,FAST
Ferieberettiget tillæg 1,11642,1550,FAST
Ferieberettiget tillæg 1,11644,1550,FAST
Ferieberettiget tillæg 1,11646,1550,FAST
Ferieberettiget tillæg 1,11648,1550,FAST
Ferieberettiget tillæg 1,21550,1550,FAST
Ferieberettiget tillæg 2,21552,1552,FAST
Ferieberettiget tillæg 3,21554,1554,FAST
Ferieberettiget tillæg 4,21556,1556,FAST
Ferieberettiget tillæg 5,21558,1558,FAST
Ferieberettiget tillæg 1,1551,1551,VARIABEL
Ferieberettiget tillæg 1,11611,1551,VARIABEL
Ferieberettiget tillæg 1,11613,1551,VARIABEL
Ferieberettiget tillæg 1,11615,1551,VARIABEL
Ferieberettiget tillæg 1,11617,1551,VARIABEL
Ferieberettiget tillæg 1,11619,1551,VARIABEL
Ferieberettiget tillæg 1,11621,1551,VARIABEL
Ferieberettiget tillæg 1,11623,1551,VARIABEL
Ferieberettiget tillæg 1,11625,1551,VARIABEL
Ferieberettiget tillæg 1,11627,1551,VARIABEL
Ferieberettiget tillæg 1,11629,1551,VARIABEL
Ferieberettiget tillæg 1,11631,1551,VARIABEL
Ferieberettiget tillæg 1,11633,1551,VARIABEL
Ferieberettiget tillæg 1,11635,1551,VARIABEL
Ferieberettiget tillæg 1,11637,1551,VARIABEL
Ferieberettiget tillæg 1,11639,1551,VARIABEL
Ferieberettiget tillæg 1,11641,1551,VARIABEL
Ferieberettiget tillæg 1,11643,1551,VARIABEL
Ferieberettiget tillæg 1,11645,1551,VARIABEL
Ferieberettiget tillæg 1,11647,1551,VARIABEL
Ferieberettiget tillæg 1,11649,1551,VARIABEL
Ferieberettiget tillæg 1,21551,1551,VARIABEL
Ferieberettiget tillæg 1,21553,1553,VARIABEL
Ferieberettiget tillæg 1,21555,1555,VARIABEL
Ferieberettiget tillæg 1,21557,1557,VARIABEL
Ferieberettiget tillæg 1,21559,1559,VARIABEL
Ferieberettiget tillæg 2,1552,1552,FAST
Ferieberettiget tillæg 2,1553,1553,VARIABEL
Ferieberettiget tillæg 3,1554,1554,FAST
Ferieberettiget tillæg 3,1555,1555,VARIABEL
Ferieberettiget tillæg 4,1556,1556,FAST
Ferieberettiget tillæg 4,1557,1557,VARIABEL
Ferieberettiget tillæg 5,1558,1558,FAST
Ferieberettiget tillæg 5,1559,1559,VARIABEL
Ferieberettiget tillæg A,1560,1560,FAST
Ferieberettiget tillæg A,1561,1561,VARIABEL
Ferieberettiget tillæg B,1562,1562,FAST
Ferieberettiget tillæg B,1563,1563,VARIABEL
Ferieberettiget tillæg C,1564,1564,FAST
Ferieberettiget tillæg C,1565,1565,VARIABEL
Ferieberettiget tillæg D,1566,1566,FAST
Ferieberettiget tillæg D,1567,1567,VARIABEL
Ferieberettiget tillæg E,1568,1568,FAST
Ferieberettiget tillæg E,1569,1569,VARIABEL
Barselsorlov med løn,1570,1570,FRAVÆR
Barsel med løn,44504,1570,VARIABEL
Barselsorlov uden løn,1571,1571,FRAVÆR
Sygdom uden løn,1572,1572,FRAVÆR
Orlov uden løn,1573,1573,FRAVÆR
Militærtjeneste,1574,1574,FRAVÆR
Barselsorlov med timeløn,1575,1575,FRAVÆR
Barselsorlov med timeløn,11575,1575,FRAVÆR
Plejeorlov,1576,1576,FRAVÆR
Barselsorlov timer x sats,1577,1577,FRAVÆR
Orlov med løn/timer,1578,1578,FRAVÆR
"Ferie, egen regning",1579,1579,FRAVÆR
Sygdom med løn,1580,1580,FRAVÆR
Sygdom med løn (% lønspec.),11580,1580,FRAVÆR
Barn syg,1581,1581,FRAVÆR
Orlov med løn,1582,1582,FRAVÆR
Sygdom ifm. graviditet,1583,1583,FRAVÆR
Sygdom ifm. graviditet,41583,1583,FRAVÆR
Sygdom ifm. arbejdsskade,1584,1584,FRAVÆR
Andet fravær,1585,1585,FRAVÆR
Andet fravær % indberet,11585,1585,FRAVÆR
"Fri, egen regning",1586,1586,FRAVÆR
"Ferie, egen regning",1587,1587,FRAVÆR
Sygdom ifm. arbejdsskade,1588,1588,FRAVÆR
"Fri, egen regning",1589,1589,FRAVÆR
"Ferie, egen regning",11589,1589,FRAVÆR
Strejke uden løn,1591,1591,FRAVÆR
Barn syg,1592,1592,FRAVÆR
Andet fravær,1593,1593,FRAVÆR
Sygdom med løn,1594,1594,FRAVÆR
Tillæg / pension,41595,1595,FAST
Ferieberettiget tillæg F tabel,1596,1596,FAST
"Ferie, egen regning (særlig)",1597,1597,FRAVÆR
Orlov uden timeløn,1598,1598,FRAVÆR
Ferieberettiget tillæg F tabel,1599,1599,VARIABEL
Bestyrelseshonorar,1600,1600,FAST
Bestyrelseshonorar,1601,1601,FAST
Bestyrelseshonorar,1602,1602,FAST
Bestyrelseshonorar,1603,1603,VARIABEL
B-indkomst m/AM-bidrag,1604,1604,FAST
B-indkomst m/AM-bidrag,1605,1605,VARIABEL
Korrektion B-indkomst m/AM,12605,1605,VARIABELEFTREG
B-indkomst u/AM-bidrag,1606,1606,FAST
B-indkomst u/AM-bidrag,1607,1607,VARIABEL
Korrektion B-indkomst u/AM,12607,1607,VARIABELEFTREG
B-indkomst u/AM-bidrag,41607,1607,VARIABEL
B-indkomst u/AM-bidrag,41608,1607,VARIABEL
B-indkomst u/AM-bidrag,1608,1608,VARIABEL
B-indkomst u/AM kun indberet.,1609,1609,VARIABEL
Bestyrelseshonorar U/AM,1610,1610,VARIABEL
B-indk. m/AM-bidrag felt 36,1617,1617,VARIABEL
Pensionsudbetaling,1640,1640,FAST
Pensionsudbetaling,1641,1641,VARIABEL
Pensionsudbetaling,1642,1642,FAST
Pensionsudbetaling,1643,1643,VARIABEL
Pensionsudbetaling,1644,1644,FAST
Pensionsudbetaling,1645,1645,VARIABEL
Pensionsudbetaling,1646,1646,FAST
Pensionsudbetaling,1647,1647,VARIABEL
Pensionsudbetaling,1648,1648,FAST
Pensionsudbetaling,1649,1649,VARIABEL
Pensionsudbetaling,1650,1650,FAST
Pensionsudbetaling,1651,1651,VARIABEL
Pensionsudbetaling,1653,1653,FAST
Pensionsudbetaling,1654,1654,VARIABEL
Pensionsudbetaling,1655,1655,FAST
Pensionsudbetaling,1656,1656,VARIABEL
Ferieberettiget tillæg A(1),1660,1660,FAST
Ferieberettiget tillæg A(1),1661,1661,VARIABEL
Ferieberettiget tillæg B(1),1662,1662,FAST
Ferieberettiget tillæg B(1),1663,1663,VARIABEL
Ferieberettiget tillæg C(1),1664,1664,FAST
Ferieberettiget tillæg C(1),1665,1665,VARIABEL
Ferieberettiget tillæg D(1),1666,1666,FAST
Ferieberettiget tillæg D(1),1667,1667,VARIABEL
Ferieberettiget tillæg E(1),1668,1668,FAST
Ferieberettiget tillæg E(1),1669,1669,VARIABEL
Ferieberettiget tillæg red. ej,1670,1670,FAST
Ferieberettiget tillæg red. ej,1671,1671,FAST
Delbarsel uden løn,1677,1677,FRAVÆR
Barselsorlov uden løn,1678,1678,FRAVÆR
Barselsorlov uden løn,1679,1679,FRAVÆR
Sygdom med løn,1680,1680,FRAVÆR
Barn syg,1681,1681,FRAVÆR
Barn syg,1682,1682,FRAVÆR
Sygdom ifm. graviditet,1683,1683,FRAVÆR
Sygdom ifm. arbejdsskade,1684,1684,FRAVÆR
"Fri, egen regning",1686,1686,FRAVÆR
"Ferie, egen regning",1687,1687,FRAVÆR
Sygdom ifm. arbejdsskade,1688,1688,FRAVÆR
"Fri, egen regning",11688,1688,FRAVÆR
Sygefravær træk,1689,1689,FRAVÆR
Sygdom med løn,1694,1694,FRAVÆR
Træk for ferie,1695,1695,VARIABEL
Time fradrag,1697,1697,FRAVÆR
Time fradrag,1698,1698,VARIABEL
Overarbejde timeløn,1700,1700,VARIABEL
Overtidstillæg beløb,1701,1701,VARIABEL
Overtidstillæg pct 1,1710,1710,VARIABEL
Overtidstillæg pct 2,1711,1711,VARIABEL
Overtidstillæg pct 4,1712,1712,VARIABEL
Overtidstillæg pct 5,1713,1713,VARIABEL
Overtidstillæg pct 6,1714,1714,VARIABEL
Overtidstillæg pct 3,1715,1715,VARIABEL
Overtidstillæg pct 7,1716,1716,VARIABEL
Særlig ordning AM/NETTO,1720,1720,FAST
Særlig ordning AM/NETTO,1721,1721,FAST
Særlig ordning AM/NETTO,1723,1723,VARIABEL
Særlig ordning hensæt,1724,1724,VARIABEL
Særlig ordning lb.opsparing,1725,1725,FAST
Særlig ordning afholdt,1728,1728,VARIABEL
Særlig ordning AM/NETTO,1730,1730,VARIABEL
Retræteordning,1740,1740,FAST
Retræteordning,1741,1741,FAST
Retræteordning regulering,1742,1742,VARIABEL
Overarbejde Timeløn+tillæg 1,1750,1750,VARIABEL
Overarbejde Timeløn+tillæg 2,1751,1751,VARIABEL
Overarbejde Timeløn+tillæg 3,1752,1752,VARIABEL
Overarbejde Timeløn+tillæg 4,1753,1753,VARIABEL
Overarbejde Timeløn+tillæg 5,1754,1754,VARIABEL
Overarbejde Timeløn+tillæg 6,1755,1755,VARIABEL
Overarbejde Timeløn+tillæg 7,1756,1756,VARIABEL
Overarbejde Timeløn+tillæg 8,1757,1757,VARIABEL
Overarbejde Timeløn+tillæg 9,1758,1758,VARIABEL
Overarbejde Timeløn+tillæg 10,1759,1759,VARIABEL
Vagttillæg antal,1760,1760,VARIABEL
Vagttillæg beløb,1761,1761,VARIABEL
vagttillæg pct 1,1762,1762,VARIABEL
vagttillæg pct 2,1763,1763,VARIABEL
vagttillæg pct 3,1764,1764,VARIABEL
vagttillæg pct 4,1765,1765,VARIABEL
vagttillæg pct 5,1766,1766,VARIABEL
vagttillæg pct 6,1767,1767,VARIABEL
Skifteholdstillæg antal,1770,1770,VARIABEL
Skifteholdstillæg beløb,1771,1771,VARIABEL
Skifteholdstillæg pct 1,1772,1772,VARIABEL
Skifteholdstillæg pct 2,1773,1773,VARIABEL
Skifteholdstillæg pct 3,1774,1774,VARIABEL
Skifteholdstillæg pct 4,1775,1775,VARIABEL
Skifteholdstillæg pct 5,1776,1776,VARIABEL
Skifteholdstillæg pct 6,1777,1777,VARIABEL
Skifteholdstillæg pct 7,1778,1778,VARIABEL
Skifteholdstillæg pct 8,1779,1779,VARIABEL
Skifteholdstillæg pct 9,1780,1780,VARIABEL
Skifteholdstillæg pct 9,1781,1781,VARIABEL
Skifteholdstillæg pct 9,1782,1782,VARIABEL
Skifteholdstillæg pct 10,1783,1783,VARIABEL
Forskudttid Timeløn % 1,1785,1785,VARIABEL
Forskudttid Timeløn % 2,1786,1786,VARIABEL
Tjenestefri med timeløn,1790,1790,VARIABEL
Betalt frihed med timeløn,1791,1791,VARIABEL
Betalt fridag med timeløn,1792,1792,VARIABEL
Fradrag før skat 1,1800,1800,FAST
Fradrag før skat 2,1801,1801,FAST
Fradrag før skat 3,1802,1802,FAST
Fradrag før skat 4,1803,1803,FAST
Fradrag før skat 1a,1805,1805,VARIABEL
Fradrag før skat 1b,1806,1806,VARIABEL
Fradrag før skat 1c,1807,1807,VARIABEL
Fradrag før skat 1d,1808,1808,VARIABEL
Fradrag før skat 1a,1809,1809,VARIABEL
Fradrag før skat 1f,1810,1810,VARIABEL
Fradrag før skat 1g,1811,1811,VARIABEL
Ops. deltimer,1820,1820,VARIABEL
Afh. deltimer,1821,1821,VARIABEL
Udb. deltimer,1822,1822,VARIABEL
Ops. skiftetimer,1824,1824,VARIABEL
Afh. skiftetimer,1825,1825,VARIABEL
Udb. skiftetimer,1826,1826,VARIABEL
Ops. rådigshedstimer,1828,1828,VARIABEL
Afh. rådigshedstimer,1829,1829,VARIABEL
Udb. rådigshedstimer,1830,1830,VARIABEL
Ops. overarbejdstimer,1832,1832,VARIABEL
Afh. overarbejdstimer,1833,1833,VARIABEL
Udb. overarbejdstimer,1834,1834,VARIABEL
Ops. arb.tidkompensationstimer,1836,1836,VARIABEL
Afh. arb.tidkompensationstimer,1837,1837,VARIABEL
Udb. arb.tidkompensationstimer,1838,1838,VARIABEL
Ops. flextimer,1840,1840,VARIABEL
Afh. flextimer,1841,1841,VARIABEL
Udb. flextimer,1842,1842,VARIABEL
Timeløn,42100,2100,VARIABEL
Personligt tillæg,42105,2105,VARIABEL
Regulering,42109,2109,VARIABEL
Bonus,42110,2110,VARIABEL
Bonus 1,42113,2113,VARIABEL
SH. Godtgørelse,42115,2115,VARIABEL
Overtid 50 %,42120,2120,VARIABEL
Overtid 100 %,42125,2125,VARIABEL
Forskudt tid,42130,2130,VARIABEL
Udbetal feriefritimer,42195,2195,VARIABEL
Timeløn,42200,2200,VARIABEL
Personligt tillæg,42205,2205,VARIABEL
Regulering,42209,2209,VARIABEL
Bonus,42210,2210,VARIABEL
Bonus 1,42213,2213,VARIABEL
SH. Godtgørelse,42215,2215,VARIABEL
Overtid 50 %,42220,2220,VARIABEL
Overtid 100 %,42225,2225,VARIABEL
Forskudt tid,42230,2230,VARIABEL
Udbetal feriefritimer,42295,2295,VARIABEL
Sygeferiepenge - ferie med løn,40060,2300,VARIABELEFTREG
Sygedagpenge,42300,2300,VARIABEL
Sygedagpenge,42302,2302,VARIABEL
Sygedagpenge,42310,2310,VARIABEL
Sygeløn,42312,2312,VARIABEL
Barn syg,42320,2320,VARIABEL
Barn syg,42322,2322,VARIABEL
Barsel med løn,42330,2330,VARIABEL
Barsel med løn,42332,2332,VARIABEL
Tilskud,42410,2410,VARIABEL
Tilskud,42412,2412,VARIABEL
"Bonus, udbetales i hver lønkørsel",2000,2000,FAST
"Bonus, udbetales i hver lønkørsel",2001,2001,STILLINGSKATEGORI
"Bonus, beregnes i hver lønkørsel, men udbetales ud fra res.tabel",2002,2002,FAST
"Bonus, beregnes i hver lønkørsel, men udbetales ud fra res.tabel",2003,2003,STILLINGSKATEGORI
"Bonus, udbetales i hver lønkørsel",2004,2004,Variabel
Ledighedsdage,2900,2900,VARIABEL
1/2 ledighedsdage,2901,2901,VARIABEL
Ledighedsdage regulering,2905,2905,VARIABEL
Korrektion Ledighedsdage,12905,2905,VARIABELEFTREG
Lønsikring 1,2910,2910,VARIABEL
Lønsikring 2,2911,2911,VARIABEL
Lønsikring 3,2912,2912,VARIABEL
Lønsikring 4,2913,2913,VARIABEL
Lønsikring 5,2914,2914,VARIABEL
Lønsikring 6,2915,2915,VARIABEL
Lønsikring 7,2916,2916,VARIABEL
Lønsikring 8,2917,2917,VARIABEL
Kørselsgodtgørelse (se kommentar),2920,2920,VARIABEL
Alderspension Firma,2970,2970,FAST
Alderspension Egen,2971,2971,FAST
Fri bil egen betaling,2999,2999,FAST
Værdi af fri bil,3000,3000,FAST
Værdi af fri bil,33000,3000,FAST
Timeløn,43000,3000,VARIABEL
Værdi af fri bil,3001,3001,VARIABEL
Værdi af fri bil,33001,3001,VARIABEL
Timeløn SI,43001,3001,VARIABEL
Fri bil egen betaling,3002,3002,FAST
Fri bil egen betaling,33002,3002,FAST
Fri bil egen betaling,3003,3003,VARIABEL
Fri bil egen betaling,33003,3003,VARIABEL
Timeløn Intern,43003,3003,VARIABEL
Miljøtillæg,3004,3004,FAST
Miljøtillæg,33004,3004,FAST
Barsel med løn,43004,3004,VARIABEL
Faglært Timeløn,43005,3005,VARIABEL
Ufaglært Timeløn,43006,3006,VARIABEL
Regulering,43009,3009,VARIABEL
Timeløn Intern vikar,43010,3010,VARIABEL
Intern nattevagt,43011,3011,VARIABEL
Intern Weekendvagt,43012,3012,VARIABEL
Sygeløn,43013,3013,VARIABEL
Miljøtillæg,3016,3016,VARIABEL
Fri bil egen betaling,3019,3019,VARIABEL
Værdi af gruppeliv,3020,3020,FAST
Værdi af gruppeliv regulering,3021,3021,VARIABEL
Mødetillæg,43021,3021,VARIABEL
Værdi af gruppeliv m/afregning,3022,3022,FAST
Værdi af gruppeliv m/afregning,33022,3022,FAST
Tructillæg,43022,3022,VARIABEL
Værdi af gruppeliv regulering m/afregning,3023,3023,VARIABEL
Værdi af gruppeliv regulering m/afregning,33023,3023,VARIABEL
Personligt tillæg,43023,3023,VARIABEL
Værdi af gruppeliv m/afregning,3024,3024,FAST
Værdi af gruppeliv,3025,3025,FAST
Værdi af gruppeliv regulering,3026,3026,VARIABEL
Værdi af gruppeliv m/afregning,3027,3027,FAST
Værdi af gruppeliv regulering m/afregning,3028,3028,VARIABEL
Værdi af gruppeliv,3029,3029,FAST
Værdi af ulykkesforsikring,3030,3030,FAST
Forskudt tidstillæg 1,43030,3030,VARIABEL
Værdi af ulykkesforsikr.regul.,3031,3031,VARIABEL
Forskudt tidstillæg 2,43031,3031,VARIABEL
Værdi af kritisk sygdom,3032,3032,FAST
Forskudt tidstillæg 3,43032,3032,VARIABEL
Værdi af kritisk sygdom,3033,3033,VARIABEL
Forskudt tidstillæg 4,43033,3033,VARIABEL
Forskudt tidstillæg 5,43034,3034,VARIABEL
Værdi af ulykkesforsikring,3035,3035,FAST
Forskudt tidstillæg 6,43035,3035,VARIABEL
Værdi af ulykkesforsikr.regul.,3036,3036,VARIABEL
Forskudt tidstillæg 7,43036,3036,VARIABEL
Forskudt tidstillæg 8,43037,3036,VARIABEL
Forskudt tidstillæg 9,43038,3036,VARIABEL
Værdi af fri kost,3040,3040,FAST
Skifteholdstillæg 1,43040,3040,VARIABEL
Værdi af fri kost regulering,3041,3041,VARIABEL
Skifteholdstillæg 2,43041,3041,VARIABEL
Værdi af fri bil 2,3042,3042,FAST
Værdi af fri bil 2,33042,3042,FAST
Skifteholdstillæg 3,43042,3042,VARIABEL
Værdi af fri bil 2,3043,3043,VARIABEL
Værdi af fri bil 2,33043,3043,VARIABEL
Skifteholdstillæg 4,43043,3043,VARIABEL
Miljøtillæg 2,3044,3044,FAST
Miljøtillæg 2,33044,3044,FAST
Skifteholdstillæg 5,43044,3044,VARIABEL
Værdi af kritisk sygdom,3045,3045,FAST
Skifteholdstillæg 6,43045,3045,VARIABEL
Skifteholdstillæg 7,43046,3045,VARIABEL
Skifteholdstillæg 8,43047,3045,VARIABEL
Skifteholdstillæg 9,43048,3045,VARIABEL
Værdi af kritisk sygdom,3046,3046,VARIABEL
Miljøtillæg 2,3047,3047,VARIABEL
Miljøtillæg 2,33047,3047,VARIABEL
Beskatning Værdi af fri kost,3048,3048,FAST
Beskatning Værdi af fri kost,3049,3049,VARIABEL
Fri telefon,3050,3050,FAST
Overarbejde 1,43050,3050,VARIABEL
Fri telefon,3051,3051,FAST
Overarbejde 2,43051,3051,VARIABEL
Fri telefon,3052,3052,VARIABEL
Overarbejde 3,43052,3052,VARIABEL
Fri telefon,3053,3053,FAST
Overarbejde 4,43053,3053,VARIABEL
Fri telefon,3054,3054,FAST
Overarbejde 5,43054,3054,VARIABEL
Fri telefon,3055,3055,VARIABEL
Overarbejde 6,43055,3055,VARIABEL
Fri telefon,3056,3056,FAST
Overarbejde 7,43056,3056,VARIABEL
Fri telefon,3057,3057,FAST
Overarbejde 8,43057,3057,VARIABEL
Fri telefon,3058,3058,VARIABEL
Overarbejde 9,43058,3058,VARIABEL
Fri telefon (Fast),3059,3059,FAST
Søn- og Helligdag,43059,3059,VARIABEL
Værdi af sundhedsforsikring,3060,3060,FAST
Værdi af sundhedsforsikring,3061,3061,FAST
Værdi af sundhedsforsikring,3062,3062,VARIABEL
Værdi af sundhedsforsikring,3063,3063,FAST
Værdi af sundhedsforsikring,3064,3064,FAST
Værdi af sundhedsforsikring,3065,3065,VARIABEL
Værdi af sundhedsforsikring m/afregning,3066,3066,FAST
Værdi af sundhedsforsikring m/afregning,43066,3066,FAST
Værdi af sundhedsforsikring m/afregning,43067,3066,FAST
Værdi af sundhedsforsikring m/afregning,43068,3066,FAST
Værdi af sundhedsforsikring m/afregning,43069,3066,FAST
Værdi af sundhedsforsikring m/afregning,3067,3067,FAST
Ulykkesforsikring,3068,3068,FAST
Ulykkesforsikring,3069,3069,VARIABEL
Ulykkesforsikring,3070,3070,FAST
Ulykkesforsikring,3071,3071,VARIABEL
Fritidsulykkeforsikring,3072,3072,FAST
Fritidsulykkeforsikring,3073,3073,VARIABEL
Fritidsulykkeforsikring,3074,3074,FAST
Fritidsulykkeforsikring,3075,3075,VARIABEL
Sygedagpenge,43075,3075,VARIABEL
Invalidedækning m/afregning,3076,3076,FAST
Sygedagpenge,43076,3076,VARIABEL
Invalidedækning m/afregning,3077,3077,VARIABEL
Barn syg,43077,3077,VARIABEL
Invalidedækning m/afregning,3078,3078,FAST
InvalideDækning m/afregning,3079,3079,VARIABEL
Falck forsikring,3080,3080,FAST
Falck forsikring,3081,3081,VARIABEL
Regulering timeløn,43081,3081,VARIABEL
Falck forsikring,3082,3082,FAST
A/C udbetaling,43082,3082,VARIABEL
Falck forsikring,3083,3083,VARIABEL
Udlæg,43083,3083,VARIABEL
Værdi af sundhedsforsikring m/afregning,3084,3084,FAST
Værdi af sundhedsforsikring m/afregning,3085,3085,VARIABEL
Værdi af sundhedsforsikring m/afregning,3086,3086,FAST
Værdi af sundhedsforsikring m/afregning,3087,3087,VARIABEL
"Værdi fri bil, ej ferieberet.",3088,3088,FAST
Bonus,43088,3088,VARIABEL
"Værdi fri bil, ej ferieberet.",3089,3089,VARIABEL
Biltilskud,3090,3090,FAST
Biltilskud,3091,3091,VARIABEL
"Biltilskud, ej ferieberettiget",3092,3092,FAST
"Biltilskud, ej ferieberettiget",3093,3093,VARIABEL
Skattepligtig kørselsgodtg.,3094,3094,VARIABEL
Værdi af benzin,3095,3095,VARIABEL
Feriefridage,43095,3095,VARIABEL
"Miljøtillæg, ej ferieberet.",3096,3096,FAST
"Miljøtillæg, ej ferieberet.",3097,3097,VARIABEL
Værdi af sundhedsforsikring m/afregning,3098,3098,FAST
"Gavekort beskatning, ej udb.",3099,3099,VARIABEL
Telefontilskud,3100,3100,FAST
Timeløn,43100,3100,VARIABEL
Telefontilskud,3101,3101,VARIABEL
Barsel med løn,43104,3104,VARIABEL
Faglært timeløn,43105,3105,VARIABEL
Ufaglært Timeløn,43106,3106,VARIABEL
Regulering timeløn,43109,3109,VARIABEL
Bredbånd,3110,3110,FAST
Timeløn Intern vikar,43110,3110,VARIABEL
Bredbånd,3111,3111,VARIABEL
Intern nattevagt,43111,3111,VARIABEL
Bredbånd,3112,3112,FAST
Intern Weekendvagt,43112,3112,VARIABEL
Sygeløn,43113,3113,VARIABEL
Bredbåndstelefoni,3115,3115,FAST
Bredbåndstelefoni,3116,3116,VARIABEL
Bredbåndstelefoni,3117,3117,FAST
Bus / togkort,3120,3120,FAST
Bus / togkort,3121,3121,VARIABEL
Møde tillæg,43121,3121,VARIABEL
Bus / togkort,3122,3122,FAST
Tructillæg,43122,3122,VARIABEL
Personligt tillæg,43123,3123,VARIABEL
Aviser / tidsskrifter,3125,3125,FAST
Aviser / tidsskrifter,3126,3126,VARIABEL
Aviser / tidsskrifter,3127,3127,FAST
Massage,3130,3130,FAST
Forskudt tidstillæg 1,43130,3130,VARIABEL
Massage,3131,3131,VARIABEL
Forskudt tidstillæg 2,43131,3131,VARIABEL
Massage,3132,3132,FAST
Forskudt tidstillæg 3,43132,3132,VARIABEL
Forskudt tidstillæg 4,43133,3133,VARIABEL
Forskudt tidstillæg 5,43134,3134,VARIABEL
Sundhedsforsikr. (ej indberet),3135,3135,FAST
Forskudt tidstillæg 6,43135,3135,VARIABEL
Sundhedsforsikr. (ej indberet),3136,3136,VARIABEL
Forskudt tidstillæg 7,43136,3136,VARIABEL
Sundhedsforsikr. (ej indberet),3137,3137,FAST
Sundhedsforsikr. (ej indberet) m/afregning reg.kontonr.,3138,3138,FAST
Sundhedsforsikr. (ej indberet) m/afregning reg.kontonr.,3139,3139,VARIABEL
Personalegode 1 før skat,3140,3140,FAST
Skifteholdstillæg 1,43140,3140,VARIABEL
Personalegode  1 før skat,3141,3141,VARIABEL
Skifteholdstillæg 2,43141,3141,VARIABEL
Personalegode 1 før skat,3142,3142,FAST
Skifteholdstillæg 3,43142,3142,VARIABEL
Skifteholdstillæg 4,43143,3143,VARIABEL
Skifteholdstillæg 5,43144,3144,VARIABEL
Skifteholdstillæg 6,43145,3145,VARIABEL
Personalegode 2 før skat,3150,3150,FAST
Overarbejde 1,43150,3150,VARIABEL
Personalegode 2 før skat,3151,3151,VARIABEL
Overarbejde 2,43151,3151,VARIABEL
Personalegode 2 før skat,3152,3152,FAST
Overarbejde 3,43152,3152,VARIABEL
Personalegode 2 før skat,3153,3153,VARIABEL
Overarbejde 4,43153,3153,VARIABEL
Overarbejde 5,43154,3154,VARIABEL
